tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
https://elecciones-2v.cne.gob.ec/actas;;
;;
Mi pregunta más sencilla y en coherencia es por qué en el caso de la elección de Venezuela 🇻🇪 NUNCA se pronunció sobre los abusos de dicho proceso electoral cuando también las actas eran públicas y la violacion y robo a los resultados fueron flagrantes y evidentes en contra del hermano pueblo venezolano.  Por qué aún reconoce esa dictadura ? ;;
;;
"Se trata de COHERENCIA !!!"",652,193,23,male,@jrestrp,";;
"1912243983780122823,15/04/2025 16:48:00,45,""Hola, pederasta.";;
;;
Las actas ya fueron publicadas.;;
Las puede consultar aquí.;;
;;
"https://elecciones-2v.cne.gob.ec/actas https://pbs.twimg.com/media/GomxLgQXkAAHafR?format=jpg&name=900x900 "",854,191,7,male,@millanrussy,";;
"1912243983780122823,15/04/2025 16:44:00,46,""Señor presidente, hemos sido respetuosos de las ministras y ministros que ha designado, sin embargo, me parece supremamente grave que la canciller tome posiciones contrarias a las suyas en materia internacional 👇 https://pbs.twimg.com/media/Gom3GetW0AAKSct?format=jpg&name=900x900"",576,244,53,male,@DavidPorrasP,";;
"1912243983780122823,15/04/2025 15:50:00,47,""Esto es el COLMO. ";;
;;
Envía veedores a Ecuador, pero se quedó callado avalando el robo manifiesto de su amigo Maduro. ;;
;;
Presidente ;;
@petrogustavo;;
" sí por algo tiene que preocuparse es por lo que pasa en Venezuela ¿O es que quiere seguir saludando a la dictadura?"",497,147,11,male,@papoaminCD,";;
"1912243983780122823,15/04/2025 17:17:00,48,""A ver pedazo de ignorante: se dice ex candidato no con s, el terrorista Iza (Nótese es con z) jamás ha sido detenido, las actas las encuentras en la página de ";;
@cnegobec;;
, ningún veedor detenido, nadie ha sido prohibido de salir del país, miedo a que bestia!, los funcionarios de la ;;
@OEA_oficial;;
" elogiaron el proceso, la comunidad europea igualmente. Deja de fumarte las orquídeas y helechos del jardín qué estas más tonto que de costumbre! Mentiroso!"",664,131,14,male,@pabloleonsilva,";;
"1912243983780122823,17/04/2025 17:46:00,49,""Ser tibio no es revolucionario, ni de izquierda. En Ecuador hubo fraude electoral, punto. No hay otra lectura posible, y usted debe ser contundente en esa afirmación como lo fue cuando exigía con firmeza las actas al gobierno de Maduro! Eso le sumaría puntos a su ya cuestionado progresismo"",420,126,110,female,@_TereFelipe_,";;
"1912243983780122823,15/04/2025 17:37:00,50,""Y a pesar de esto los gobiernos de Chile y Brasil critican a Venezuela y aplauden a Ecuador. La doble moral que alegra mucho a Washington.";;
",335,96,32,male,@AnibalGarzon,
1912243983780122823,15/04/2025 15:39:00,51,Presidente ¿Y qué le dijeron sus """"informantes"""" de las elecciones que se robó Nicolás Maduro en Venezuela? https://pbs.twimg.com/media/GomoNgJWQAAw_S2?format=jpg&name=900x900"",398,160,8,male,@vivassantanaj_,";;
1916121382636695719,26/04/2025 20:31:00,52,Que nivel de egocentrismo tan absurdo. Petro cree que todo lo que pasa en el mundo se trata de él. Un megalómano.,6200,1200,138,male,@Danielbricen,;;
"1916121382636695719,26/04/2025 20:28:00,53,""Petro usted no es creyente deje la estupidez, además si está llorando es porque estará en sus estados de efervescente ";;
;;
Usted no sabe que es el amor ;;
"Narciso miserable"",1200,204,37,male,@Rincon001A,";;
"1916121382636695719,26/04/2025 20:32:00,54,""Cuando decían en campaña que Petro era ateo y cerraría todas las iglesias, ¿recuerdan? Resulta que quienes terminaron odiando al papa fueron ellos."",961,239,23,male,@Lic_DanteGuty,";;
"1916121382636695719,26/04/2025 8:27:00,55,""Deje al Papa Francisco descansar Presidente ";;
@petrogustavo;;
. ;;
;;
El sí tenía una verdadera lucha por la vida, por la igualdad, por la paz y por el bienestar del mundo. ;;
;;
"Usted por el contrario va en un camino distinto. Un camino que solo produce tristeza."",914,123,187,male,@papoaminCD,";;
"1916121382636695719,26/04/2025 8:39:00,56,""“Fuimos compañeros de la vida en el mundo que nos toco vivir, y te fuiste primero, y por eso me siento solo y triste, pero desde aquí, en algún lugar de Bogotá, después de llorarte y recordar tu abrazo (…)”";;
;;
Ni la cuenta fake, te cuento.;;
",1100,96,21,male,@JoseCuelloB,
1916121382636695719,26/04/2025 8:28:00,57,Si vamos a LLORAR, lloramos también por esto ¡FARISEO! ";;
;;
Hoy, 26 de abril, Colombia enfrenta 292 homicidios en Bogotá en 2025, el feminicidio de Yesica Chávez conmociona la capital, y la crisis en el Catatumbo deja 103 muertos y 56.000 desplazados. Ataques en Cauca y Huila agravan la violencia en el país.;;
;;
"PERO COLOMBIA LE VALE 💩"",778,165,51,female,@karencortesmd,";;
"1916121382636695719,26/04/2025 9:07:00,58,""Esto no se trata de usted, ¡loco degenerado! ";;
Vaya tómese un caldo  o un Bonfiest y acueste a dormir que de tanto estar metiendo va a terminar muy mal. ;;
"El país está harto de usted."",709,97,9,female,@LilianaCastanoG,";;
1916121382636695719,30/04/2025 8:27:00,59,Pida un bonfiest.,552,33,27,female,@ANIABELLO_R,;;
"1916121382636695719,4/05/2025 20:31:00,60,""Sólo los corazones que valoran la vida y se alejan del odio visceral que deja la codicia, son capaces de transmitir amor a través de las palabras.";;
Cuanta erudición rodea al Compañero Presidente, tanta su elocuencia, misma que nace de la experiencia hecha sabiduría.;;
